file,player_id,date,recorded_minutes,session_duration_minutes,total_distance_meters,high_speed_running_distance,sprint_distance,acceleration_count,deceleration_count,peak_speed_ms,mean_speed_ms,distance_per_min,sprint_fraction,sample_rate_hz,n_gps_samples,error,qc_flags,qc_pass
2020-09-15-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-09-15,93.84,63.28,4289.4,84.9,6.6,44,45,5.99,1.13,67.8,0.0015,10.0,56294,,,1
2020-09-12-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-09-12,169.26,134.89,14772.3,1752.1,670.6,66,96,7.9,1.825,109.5,0.0454,10.0,101547,,,1
2020-09-16-TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455.parquet,TeamA-f728b4fa-4248-5e3a-0a5d-2f346baa9455,2020-09-16,123.37,68.57,3762.9,12.8,0.0,38,34,5.19,0.915,54.9,0.0,10.0,74017,,,1
2020-09-22-TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93.parquet,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-09-22,120.66,79.14,5855.2,270.5,113.4,64,57,6.88,1.233,74.0,0.0194,10.0,72387,,,1
2020-09-23-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-09-23,110.99,81.32,7210.3,448.4,156.0,37,60,7.01,1.478,88.7,0.0216,10.0,66584,,,1
2020-09-28-TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43.parquet,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-09-28,59.51,37.09,2967.5,38.5,1.1,16,24,5.55,1.334,80.0,0.0004,10.0,35690,,,1
2020-09-26-TeamA-12e0c8b2-bad6-40fb-1948-8dec4f65d4d9.parquet,TeamA-12e0c8b2-bad6-40fb-1948-8dec4f65d4d9,2020-09-26,165.84,56.94,3951.0,426.1,307.8,30,30,6.96,1.156,69.4,0.0779,10.0,99498,,,1
2020-09-29-TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea.parquet,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,2020-09-29,100.12,62.55,4783.0,206.0,31.6,65,102,6.51,1.274,76.5,0.0066,10.0,60066,,,1
2020-09-30-TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68.parquet,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2020-09-30,104.99,72.52,7297.9,882.1,330.7,40,66,7.84,1.677,100.6,0.0453,10.0,62986,,,1
2020-10-01-TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68.parquet,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2020-10-01,91.62,62.82,4981.9,415.0,97.3,32,62,7.76,1.322,79.3,0.0195,10.0,54968,,,1
2020-10-03-TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a.parquet,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2020-10-03,79.07,41.26,2346.7,71.2,33.8,8,14,6.51,0.948,56.9,0.0144,10.0,47430,,,1
2020-10-06-TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592.parquet,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-10-06,63.88,39.78,2425.2,242.7,63.9,41,34,6.31,1.016,61.0,0.0264,10.0,38310,,,1
2020-10-04-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-10-04,262.52,133.84,12440.6,1081.8,430.1,56,66,7.76,1.549,93.0,0.0346,10.0,157502,,,1
2020-10-07-TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592.parquet,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-10-07,173.16,128.83,13470.7,1777.7,1001.7,64,113,8.2,1.743,104.6,0.0744,10.0,103864,,,1
2020-10-08-TeamA-67961019-dbb5-464b-839e-08e5896c2c42.parquet,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,2020-10-08,128.9,92.06,6909.5,318.0,107.1,37,48,6.82,1.251,75.1,0.0155,10.0,77336,,,1
2020-10-12-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-10-12,77.61,50.55,2402.2,7.6,0.0,26,62,5.0,0.792,47.5,0.0,10.0,46557,,,1
2020-10-13-TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43.parquet,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-10-13,95.5,56.72,4631.9,133.5,18.8,17,42,6.01,1.361,81.7,0.0041,10.0,57285,,,1
2020-10-14-TeamA-74afe68c-f348-414c-9754-6d6f9df12587.parquet,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-10-14,125.47,87.48,7474.4,816.5,461.8,34,54,7.79,1.424,85.4,0.0618,10.0,75275,,,1
2020-10-15-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-10-15,83.99,47.74,3412.6,146.7,24.0,39,39,6.21,1.191,71.5,0.007,10.0,50384,,,1
2020-10-17-TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea.parquet,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,2020-10-17,54.54,39.1,2642.5,298.8,162.2,19,27,7.41,1.126,67.6,0.0614,10.0,32719,,,1
2020-10-18-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-10-18,115.92,96.3,10305.6,1279.3,525.8,39,59,7.54,1.784,107.0,0.051,10.0,69546,,,1
2020-10-20-TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95.parquet,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-10-20,78.1,47.31,3592.2,104.0,20.5,40,36,6.03,1.265,75.9,0.0057,10.0,46843,,,1
2020-10-21-TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a.parquet,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2020-10-21,56.97,33.44,2138.3,62.6,20.4,20,28,6.12,1.066,63.9,0.0095,10.0,34169,,,1
2020-10-22-TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65.parquet,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-10-22,99.22,77.23,7308.9,640.9,214.2,39,64,6.89,1.577,94.6,0.0293,10.0,59523,,,1
2020-10-26-TeamA-4051bba7-1170-4c43-b912-8c38815a7625.parquet,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-10-26,65.07,41.48,2034.1,0.5,0.0,37,35,4.54,0.817,49.0,0.0,10.0,39035,,,1
2020-10-27-TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93.parquet,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-10-27,107.52,75.87,5332.0,312.7,106.4,36,70,6.71,1.171,70.3,0.0199,10.0,64504,,,1
2020-10-28-TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4.parquet,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,2020-10-28,61.0,39.95,4494.7,704.7,286.8,11,36,7.31,1.875,112.5,0.0638,10.0,36596,,,1
2020-10-31-TeamA-b58af410-da77-479e-b93c-e03617b9f36d.parquet,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-10-31,74.97,46.92,3346.8,191.1,74.4,22,21,7.32,1.189,71.3,0.0222,10.0,44974,,,1
2020-10-29-TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e.parquet,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-10-29,94.99,60.29,4350.3,57.3,2.2,34,54,5.56,1.203,72.2,0.0005,10.0,56985,,,1
2020-11-02-TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7.parquet,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-11-02,87.9,59.82,5009.9,129.2,21.9,44,32,6.11,1.396,83.7,0.0044,10.0,52730,,,1
